query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
head spa,8528d543fffffff,8428d55ffffffff,0,50,REAL,0.91836734693877553,0.040816326530612242,LOCAL
massage,852ab253fffffff,842ab25ffffffff,1,50,REAL,0.79591836734693877,0.16326530612244897,LOCAL
botox,85283093fffffff,8428309ffffffff,1,50,REAL,0.673469387755102,0.061224489795918366,MIXED
couples massage,8526c877fffffff,8426c87ffffffff,1,50,REAL,0.61224489795918369,0.10204081632653061,MIXED
dreamhack,8544c1abfffffff,8444c1bffffffff,1,50,REAL,0.61224489795918369,0.18367346938775511,MIXED
head spa,8529a19bfffffff,8429a19ffffffff,1,50,REAL,0.77551020408163263,0.10204081632653061,LOCAL
massage,852832bbfffffff,842832bffffffff,2,50,REAL,0.77551020408163263,0.18367346938775511,LOCAL
bingo,85441abbfffffff,84441abffffffff,2,50,REAL,0.77551020408163263,0.12244897959183673,LOCAL
massage,85441a8bfffffff,84441a9ffffffff,2,50,REAL,0.73469387755102045,0.12244897959183673,LOCAL
oil change,852a108bfffffff,842a109ffffffff,2,50,REAL,0.46938775510204084,0.16326530612244897,MIXED
oil change,8529a117fffffff,8429a11ffffffff,2,50,REAL,0.59183673469387754,0.10204081632653061,MIXED
nelly,852ad69bfffffff,842ad69ffffffff,3,50,REAL,0.51020408163265307,0.42857142857142855,MIXED
massage,852a957bfffffff,842a957ffffffff,3,50,REAL,0.5714285714285714,0.32653061224489793,MIXED
ninja city,852a957bfffffff,842a957ffffffff,3,50,REAL,0.5714285714285714,0.34693877551020408,MIXED
naples grande,8544131bfffffff,8444131ffffffff,3,50,REAL,0.48979591836734693,0.34693877551020408,MIXED
statue of liberty tour,852a1073fffffff,842a107ffffffff,3,50,REAL,0.7142857142857143,0.20408163265306123,MIXED
bike rental central park,852a100ffffffff,842a101ffffffff,3,50,REAL,0.7142857142857143,0.26530612244897961,MIXED
360,852664c3fffffff,842664dffffffff,3,50,REAL,0.65306122448979587,0.22448979591836735,MIXED
family pictures,8544a103fffffff,8444a11ffffffff,3,50,REAL,0.020408163265306121,0.97959183673469385,TRAVEL_LIKE
zoo,8529a41bfffffff,8429a41ffffffff,3,50,REAL,0.24489795918367346,0.55102040816326525,TRAVEL_LIKE
laser hair removal,8544c133fffffff,8444c13ffffffff,3,50,REAL,0.69387755102040816,0.24489795918367346,MIXED
universal studios hollywood,8529a1d7fffffff,8429a1dffffffff,3,50,REAL,0.26530612244897961,0.42857142857142855,MIXED
botox,852a1073fffffff,842a107ffffffff,0,50,REAL,0.92,0.06,LOCAL
jumping world,85446caffffffff,84446cbffffffff,0,50,REAL,0.86,0.08,LOCAL
