query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
zoo;3068;0.013;173;1942.571125031;0.330200769;0.030937095;62791;161;1832.77312541;0.236;12999;5883
zo skin;29;0.0;0;0.0;0.0;0.0;495;0;0.0;0.3295;88;32
zo;26;0.004;1;18.145000458;0.073760164;0.023937995;758;1;18.145000458;0.0939;277;246
ziplining;185;0.015;6;68.600699663;0.298263912;0.055234058;1242;7;87.358498812;0.4469;414;230
zipline;626;0.01;15;322.877502918;0.396168715;0.05953854;5423;14;277.392101765;0.4065;1540;815
zip lining;46;0.0;0;0.0;0.0;0.0;1407;0;0.0;0.1756;262;119
zip line;80;0.005;3;103.124797821;0.414155815;0.034455328;2993;2;45.515899658;0.1401;571;249
zip;103;0.004;2;63.002000809;0.157112221;0.036735861;1715;1;44.502799988;0.1936;532;401
zion national park;5;0.0;0;0.0;0.0;0.0;409;0;0.0;0.0806;62;17
zion;35;0.0;0;0.0;0.0;0.0;795;0;0.0;0.2713;129;57
zero latency;5;0.007;1;7.434000015;0.11615625;0.009530769;780;1;7.434000015;0.0336;149;64
zero gravity;31;0.045;4;125.844199181;2.516883984;0.309961082;406;4;125.844199181;0.3483;89;50
zero;44;0.054;9;156.372499466;1.133134054;0.354586167;441;8;138.477499962;0.2635;167;138
zepbound;3;0.0;0;0.0;0.0;0.0;566;0;0.0;0.0132;228;161
zen spa;26;0.03;3;121.944002151;3.048600054;0.252472054;483;3;121.944002151;0.2626;99;40
zen massage;51;0.008;1;29.315000534;0.523482152;0.043110295;680;1;29.315000534;0.418;122;56
zen;106;0.017;6;132.914402485;0.501563783;0.105655328;1258;8;167.092800617;0.2969;357;265
ze;11;0.014;3;82.446599007;0.40815148;0.141660823;582;2;36.096600533;0.0519;212;202
zap zone;26;0.0;0;0.0;0.0;0.0;1259;0;0.0;0.1004;259;97
z;42;0.003;3;35.176300764;0.042127306;0.016040265;2193;5;49.744601011;0.0456;922;835
yu spa;11;0.0;0;0.0;0.0;0.0;472;0;0.0;0.1146;96;31
ysl;34;0.005;1;17.819099426;0.159099102;0.028194778;632;1;17.819099426;0.1838;185;112
you;9;0.0;0;0.0;0.0;0.0;461;0;0.0;0.0503;179;162
