trigram,tfidf
altitude trampoline park,5.15137209356964e-05
amazing escape room,2.86216029202177e-05
amazing face medispa,1.1395371989500226e-05
amazing lash studio,2.6246244010269783e-05
american cuisine at,1.1985830442677572e-05
american dream mall,2.642798745602981e-05
american heart association,1.642136732448226e-05
american museum of,1.0251313385773993e-05
american sign language,1.0676370854820608e-05
americas best wings,1.1847975021338704e-05
among us murder,6.251756914361353e-05
among us qr,5.909913815174929e-05
amp auto repair,1.0523721305825652e-05
amy the esty,1.1447034850107018e-05
an area up,2.649129823081711e-05
an eyelash lift,2.4143960356670485e-05
an unforgettable experience,1.937636863037744e-05
an unforgettable stay,2.676130827732194e-05
analysis up to,1.3974065654448184e-05
anastasia medical aesthetics,2.135911753267038e-05
and 15minute hydroluxe,1.0524786416762182e-05
and 30 minute,1.2224701246421421e-05
and adjustments up,1.9445780477046982e-05
and adjustments with,1.4374041356496595e-05
and aesthetics with,1.426042965227607e-05
and air conditioning,1.594856155053415e-05
and air duct,1.2406257191964645e-05
and aromatherapy up,1.708955569865693e-05
and auto repair,1.3001515650550655e-05
and auto service,1.2125244120601907e-05
and b12 injections,1.1491795100274305e-05
and back brake,1.980872771190498e-05
and back facial,1.0419050297427623e-05
and back massage,1.1944306100302804e-05
and back scrub,1.1915840079581903e-05
and beard trim,1.4617894931929574e-05
and beauty bar,6.116140060233663e-05
and beauty by,1.950897297849699e-05
and beauty center,1.3098023957249408e-05
and beauty lounge,1.4009113831709333e-05
and beauty salon,1.898351431708865e-05
and beauty spa,4.3370620579183595e-05
and beauty studio,1.8981253152213825e-05
and beauty up,1.309638866793806e-05
and beauty with,1.177329702348851e-05
and bikini wax,1.1823192193195187e-05
and bikini waxing,2.8094287289056577e-05
and blow dry,9.877002300474338e-05
and blow out,2.546189695610301e-05
and blowdry at,1.5323530411927066e-05
and blowdry experience,1.7015505972439997e-05
and blowdry transform,1.0973090613363873e-05
and blowdry up,3.597381001812652e-05
and blowdry with,1.3351712968347051e-05
and blowout up,1.1211136855800072e-05
and body by,2.4196198247220882e-05
and body care,2.2734900349651912e-05
and body contouring,1.2227917838450652e-05
and body massage,3.152830394100843e-05
and body med,1.8315442974324373e-05
and body scrub,2.28997023756371e-05
and body sculpting,2.3922861881836343e-05
and body spa,4.138229731625646e-05
and body wellness,2.1476506437910054e-05
and body with,1.846844413654315e-05
and body works,1.433803392794176e-05
and boos ghost,1.9132662333870108e-05
and booze haunted,1.437254403151061e-05
and brake inspection,1.5488831975009134e-05
and brazilian wax,2.0871401087341268e-05
